microcosm_ID,species1,species2,composition_code,r_cor,k_cor,cv,cov,cor,eve,var,tot,s,temperature_treatment,min_temperature,max_temperature
M-33,colpidium,tetrahymena,CT,-0.349380903317846,-0.0693368938650117,0.52495297777802,-1.95563591593222e-5,-0.506044637388455,0.51210573867762,0.00225070693200584,0.0447921927399021,0.5,20-24C,20,24
M-34,loxocephallus,paramecium,LP,0.923112582225894,0.159587783628433,0.264572602395311,-5.07538756947392e-5,-0.484507287693284,0.853434223333547,2.4849633571636e-4,0.022912207763868,0.5,20-24C,20,24
M-35,loxocephallus,tetrahymena,LT,0.804505656584566,-0.152719330011204,0.497707750926565,3.62815407910164e-5,0.471196376326425,0.621913657886856,5.7708331685546e-4,0.0256055505263401,0.5,20-24C,20,24
M-36,paramecium,tetrahymena,PT,0.822388846453979,-0.0303854312428284,0.430110408658555,-1.70080890284796e-6,-0.0985889631360945,0.547394787864102,9.9663534094855e-5,0.0114055781134296,0.5,20-24C,20,24
M-37,colpidium,loxocephallus,CL,-0.98077191534054,0.850029301689408,0.325614529648433,5.91452860757256e-5,0.213885413055286,0.841385405135038,7.287772409197e-4,0.0446915398280394,0.1,22-26C,22,26
M-39,colpidium,tetrahymena,CT,-0.178747896399509,0.397193737873489,0.45568595309017,-4.3634301876389e-5,-0.6801265337172,0.511986520560738,0.00396446271772261,0.0683224034240946,0.1,22-26C,22,26
M-40,loxocephallus,paramecium,LP,0.841994079143362,-0.340352166834765,0.28169388286727,-4.34269600211391e-5,-0.176146715381187,0.816174805533478,6.5269077451241e-4,0.0422219418796886,0.1,22-26C,22,26
M-41,loxocephallus,tetrahymena,LT,0.133103026948186,0.451712803935648,0.768422034070582,7.68923020744396e-5,0.790053343648054,0.68514443017465,3.9368094880346e-4,0.0152246947486089,0.1,22-26C,22,26
M-42,paramecium,tetrahymena,PT,-0.128470393165418,-0.21242660131754,0.296856545231871,-9.43972529813332e-6,-0.508684235280799,0.55541698272883,9.76264940823214e-5,0.0149465343360802,0.1,22-26C,22,26
M-43,colpidium,loxocephallus,CL,-0.98077191534054,0.850029301689408,0.334660363044698,2.2958236498824e-4,0.493923055225568,0.948177069853193,9.384079922709e-4,0.0558538268365738,0.1,22-26C,22,26
M-45,colpidium,tetrahymena,CT,-0.178747896399509,0.397193737873489,0.457848020471751,-6.90573767380546e-5,-0.529643740015718,0.521443349794146,0.00298171805590665,0.0582348777973788,0.1,22-26C,22,26
M-46,loxocephallus,paramecium,LP,0.841994079143362,-0.340352166834765,0.24524020351966,-8.48631685131889e-5,-0.731114433180042,0.800709822039144,2.6478760484921e-4,0.0198783410535726,0.1,22-26C,22,26
M-47,loxocephallus,tetrahymena,LT,0.133103026948186,0.451712803935648,0.684055110136788,6.53840777633732e-5,0.616052597318563,0.643659689473024,5.9574843754379e-4,0.0197016083573058,0.1,22-26C,22,26
M-48,paramecium,tetrahymena,PT,-0.128470393165418,-0.21242660131754,0.35260059947654,4.94972278578654e-6,0.328258558697001,0.568655108543509,3.26744649825777e-5,0.00925249224363651,0.1,22-26C,22,26
M-49,colpidium,loxocephallus,CL,-0.98077191534054,0.850029301689408,0.345416310105491,5.98627961989863e-7,9.1809373609987e-4,0.86060870278005,0.00131359995913711,0.0524875802385255,0.1,22-26C,22,26
M-51,colpidium,tetrahymena,CT,-0.178747896399509,0.397193737873489,0.451603799995127,-1.729147323064e-4,-0.75379597190482,0.534825125704747,0.00605473144228375,0.0836543848176743,0.1,22-26C,22,26
M-52,loxocephallus,paramecium,LP,0.841994079143362,-0.340352166834765,0.526803957320101,-4.08139683866646e-5,-0.236747114029085,0.702182713028717,5.6072991253804e-4,0.0207747093543257,0.1,22-26C,22,26
M-53,loxocephallus,tetrahymena,LT,0.133103026948186,0.451712803935648,0.38805073926499,3.13748656290301e-5,0.540853584621057,0.661494540996625,1.5567883023421e-4,0.0190430365961575,0.1,22-26C,22,26
M-54,paramecium,tetrahymena,PT,-0.128470393165418,-0.21242660131754,0.404922493324964,-2.79821861715711e-6,-0.105344946886351,0.544350687180065,1.5222922025051e-4,0.0149524941316222,0.1,22-26C,22,26
